"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","some college","standard","completed","74","87","93"
"male","group E","some college","standard","none","99","92","88"
"female","group C","high school","standard","none","80","87","80"
"male","group E","high school","free/reduced","none","59","49","43"
"female","group B","high school","standard","completed","42","50","56"
"male","group A","associate's degree","standard","none","40","41","39"
"female","group B","high school","standard","none","85","90","89"
"female","group E","bachelor's degree","free/reduced","none","50","53","51"
"male","group C","high school","free/reduced","none","85","71","66"
"female","group E","some high school","standard","none","78","88","84"
"female","group D","some college","free/reduced","none","38","48","52"
"female","group E","high school","standard","none","79","73","75"
"female","group B","associate's degree","free/reduced","none","43","62","56"
"male","group D","bachelor's degree","standard","completed","82","84","84"
"male","group D","some high school","standard","completed","54","52","52"
"female","group E","high school","standard","completed","79","78","83"
"female","group D","some high school","standard","completed","60","77","81"
"male","group C","bachelor's degree","standard","completed","42","37","41"
"male","group D","associate's degree","standard","completed","72","67","73"
"male","group B","some college","standard","completed","73","76","74"
"female","group B","associate's degree","standard","completed","60","67","71"
"male","group D","associate's degree","free/reduced","completed","51","56","60"
"male","group C","some college","standard","none","64","59","57"
"male","group D","some college","standard","completed","86","90","92"
"male","group C","associate's degree","standard","completed","92","83","85"
"female","group B","high school","free/reduced","completed","62","72","67"
"male","group E","some college","standard","none","100","91","87"
"female","group D","bachelor's degree","free/reduced","none","73","85","84"
"male","group A","associate's degree","standard","none","79","87","83"
"male","group C","associate's degree","free/reduced","none","43","39","33"
"female","group D","some college","standard","none","79","89","90"
"male","group D","associate's degree","standard","none","59","52","49"
"female","group C","high school","free/reduced","none","50","53","53"
"female","group C","some college","standard","none","56","56","63"
"female","group E","bachelor's degree","standard","none","39","39","41"
"male","group D","some college","free/reduced","completed","55","64","66"
"male","group B","some college","standard","none","65","53","63"
"male","group A","associate's degree","standard","none","54","52","49"
"female","group C","some college","standard","none","56","64","62"
"female","group C","master's degree","standard","none","68","82","73"
"female","group E","some college","free/reduced","none","63","70","70"
"female","group D","bachelor's degree","free/reduced","none","41","51","51"
"male","group E","high school","standard","completed","75","59","59"
"male","group C","high school","standard","none","53","54","48"
"male","group D","some college","free/reduced","none","34","30","35"
"male","group A","high school","standard","completed","60","54","54"
"female","group D","some high school","standard","none","59","71","70"
"male","group B","associate's degree","standard","none","78","76","78"
"male","group D","bachelor's degree","standard","none","64","52","48"
"female","group D","associate's degree","free/reduced","completed","51","55","59"
"female","group C","high school","free/reduced","none","57","66","66"
"male","group A","some high school","standard","none","46","49","45"
"female","group B","associate's degree","standard","completed","75","82","82"
"male","group B","high school","standard","none","92","83","74"
"male","group E","high school","standard","completed","83","72","70"
"male","group B","master's degree","standard","none","76","61","66"
"male","group C","some high school","standard","none","50","46","41"
"male","group B","high school","standard","completed","53","49","50"
"female","group E","some college","standard","none","69","75","73"
"male","group D","associate's degree","standard","none","82","75","74"
"female","group E","high school","standard","none","79","84","78"
"female","group B","some college","standard","none","78","86","87"
"female","group E","some high school","free/reduced","none","52","63","58"
"male","group D","master's degree","free/reduced","none","86","92","84"
